Time,Freq,Mass
0.0,0.0,0.05
0.1,40.0,0.13
0.2,520.0,0.22
0.30000000000000004,520.0,19.99
0.4,1040.0,20.76
0.5,1160.0,10.83
0.6000000000000001,1320.0,14.87
0.7000000000000001,1320.0,15.9
0.8,1360.0,14.62
0.9,1320.0,14.55
1.0,1360.0,14.4
1.1,1320.0,14.28
1.2000000000000002,1320.0,14.26
1.3,1320.0,14.3
1.4000000000000001,1320.0,14.23
1.5,1280.0,14.06
1.6,1280.0,13.91
1.7000000000000002,1240.0,13.73
1.8,1280.0,13.67
1.9000000000000001,1280.0,13.6
